Date,Open,Close,Change(%),High,Low
"11 Mar 2020","10,417.00","10,444.00","0.26%","10,504.00","10,378.00"
"10 Mar 2020","10,410.00","10,521.00","1.07%","10,522.00","10,334.00"
"09 Mar 2020","10,668.00","10,389.00","-2.62%","10,668.00","10,380.00"
"06 Mar 2020","10,909.00","10,915.00","0.06%","10,917.00","10,877.00"
"05 Mar 2020","11,300.00","11,296.00","-0.04%","11,381.00","11,234.00"
"04 Mar 2020","11,280.00","11,250.00","-0.27%","11,301.00","11,072.00"
"03 Mar 2020","11,257.00","11,304.00","0.42%","11,323.00","11,033.00"
"02 Mar 2020","11,299.00","11,045.00","-2.25%","11,418.00","11,045.00"
"28 Feb 2020","11,341.00","11,165.00","-1.55%","11,363.00","11,115.00"
"27 Feb 2020","11,640.00","11,623.00","-0.15%","11,641.00","11,538.00"
"26 Feb 2020","11,741.00","11,698.00","-0.37%","11,786.00","11,643.00"
"25 Feb 2020","11,850.00","11,823.00","-0.23%","11,886.00","11,792.00"
"24 Feb 2020","11,915.00","11,816.00","-0.83%","11,959.00","11,816.00"
"21 Feb 2020","12,029.00","12,011.00","-0.15%","12,035.00","11,997.00"
"20 Feb 2020","12,112.00","12,082.00","-0.25%","12,161.00","12,067.00"
"19 Feb 2020","12,111.00","12,135.00","0.20%","12,147.00","12,049.00"
"18 Feb 2020","11,991.00","12,018.00","0.23%","12,018.00","11,923.00"
"17 Feb 2020","12,086.00","12,069.00","-0.14%","12,131.00","12,051.00"
"14 Feb 2020","12,247.00","12,128.00","-0.97%","12,260.00","12,103.00"
"13 Feb 2020","12,194.00","12,175.00","-0.16%","12,194.00","12,146.00"
"12 Feb 2020","12,182.00","12,232.00","0.41%","12,248.00","12,182.00"
"11 Feb 2020","12,129.00","12,123.00","-0.05%","12,185.00","12,122.00"
"10 Feb 2020","12,072.00","12,046.00","-0.22%","12,072.00","11,987.00"
"07 Feb 2020","12,111.00","12,088.00","-0.19%","12,121.00","12,073.00"
"06 Feb 2020","12,118.00","12,133.00","0.12%","12,168.00","12,087.00"
"05 Feb 2020","11,949.00","12,085.00","1.14%","12,107.00","11,949.00"
"04 Feb 2020","11,772.00","11,966.00","1.65%","11,978.00","11,772.00"
"03 Feb 2020","11,691.00","11,698.00","0.06%","11,747.00","11,604.00"
"01 Feb 2020","11,917.00","11,675.00","-2.03%","12,006.00","11,675.00"
"31 Jan 2020","12,119.00","11,995.00","-1.02%","12,120.00","11,970.00"
"30 Jan 2020","12,099.00","12,042.00","-0.47%","12,108.00","12,031.00"
"29 Jan 2020","12,121.00","12,245.00","1.02%","12,250.00","12,093.00"
"28 Jan 2020","12,130.00","12,079.00","-0.42%","12,162.00","12,038.00"
"27 Jan 2020","12,190.00","12,123.00","-0.55%","12,208.00","12,121.00"
"24 Jan 2020","12,261.00","12,251.00","-0.08%","12,291.00","12,156.00"
"23 Jan 2020","12,125.00","12,200.00","0.62%","12,215.00","12,125.00"
"22 Jan 2020","12,230.00","12,140.00","-0.74%","12,238.00","12,108.00"
"21 Jan 2020","12,194.00","12,199.00","0.04%","12,240.00","12,181.00"
"20 Jan 2020","12,395.00","12,268.00","-1.02%","12,396.00","12,251.00"
"17 Jan 2020","12,362.00","12,377.00","0.12%","12,407.00","12,346.00"
"16 Jan 2020","12,345.00","12,371.00","0.21%","12,406.00","12,339.00"
"15 Jan 2020","12,356.00","12,381.00","0.20%","12,388.00","12,320.00"
"14 Jan 2020","12,343.00","12,394.00","0.41%","12,413.00","12,339.00"
"13 Jan 2020","12,369.00","12,361.00","-0.06%","12,370.00","12,328.00"
"10 Jan 2020","12,283.00","12,289.00","0.05%","12,355.00","12,255.00"
"09 Jan 2020","12,196.00","12,266.00","0.57%","12,278.00","12,183.00"
"08 Jan 2020","11,981.00","12,063.00","0.68%","12,087.00","11,981.00"
"07 Jan 2020","12,156.00","12,111.00","-0.37%","12,182.00","12,049.00"
"06 Jan 2020","12,172.00","12,046.00","-1.04%","12,178.00","12,022.00"
"03 Jan 2020","12,272.00","12,261.00","-0.09%","12,289.00","12,224.00"
"02 Jan 2020","12,263.00","12,334.00","0.58%","12,343.00","12,263.00"
"01 Jan 2020","12,262.00","12,250.00","-0.10%","12,262.00","12,225.00"
"31 Dec 2019","12,292.00","12,040.00","-2.05%","12,310.00","12,002.00"
"30 Dec 2019","12,330.00","12,333.00","0.02%","12,346.00","12,275.00"
"27 Dec 2019","12,225.00","12,323.00","0.80%","12,327.00","12,211.00"
"26 Dec 2019","12,266.00","12,192.00","-0.60%","12,272.00","12,188.00"
"24 Dec 2019","12,277.00","12,240.00","-0.30%","12,284.00","12,230.00"
"23 Dec 2019","12,281.00","12,280.00","-0.01%","12,288.00","12,227.00"
"20 Dec 2019","12,277.00","12,296.00","0.15%","12,297.00","12,256.00"
"19 Dec 2019","12,222.00","12,271.00","0.40%","12,277.00","12,210.00"
"18 Dec 2019","12,195.00","12,255.00","0.49%","12,255.00","12,181.00"
"17 Dec 2019","12,103.00","12,206.00","0.85%","12,206.00","12,102.00"
"16 Dec 2019","12,205.00","12,077.00","-1.05%","12,205.00","12,073.00"
"13 Dec 2019","12,063.00","12,148.00","0.70%","12,160.00","12,014.00"
"12 Dec 2019","11,967.00","12,025.00","0.48%","12,054.00","11,965.00"
"11 Dec 2019","11,903.00","11,907.00","0.03%","11,940.00","11,871.00"
"10 Dec 2019","11,964.00","11,899.00","-0.54%","11,966.00","11,882.00"
"09 Dec 2019","11,943.00","11,969.00","0.22%","12,011.00","11,939.00"
"06 Dec 2019","12,059.00","11,954.00","-0.87%","12,082.00","11,929.00"
"05 Dec 2019","12,090.00","12,042.00","-0.40%","12,117.00","12,026.00"
"04 Dec 2019","11,996.00","12,090.00","0.78%","12,097.00","11,976.00"
"03 Dec 2019","12,074.00","12,049.00","-0.21%","12,083.00","11,992.00"
"02 Dec 2019","12,101.00","12,092.00","-0.07%","12,137.00","12,052.00"
"29 Nov 2019","12,156.00","12,091.00","-0.53%","12,156.00","12,050.00"
"28 Nov 2019","12,156.00","12,190.00","0.28%","12,197.00","12,146.00"
"27 Nov 2019","12,117.00","12,121.00","0.03%","12,121.00","12,074.00"
"26 Nov 2019","12,126.00","12,085.00","-0.34%","12,131.00","12,021.00"
"25 Nov 2019","11,942.00","12,101.00","1.33%","12,104.00","11,938.00"
"22 Nov 2019","11,962.00","11,911.00","-0.43%","11,970.00","11,883.00"
"21 Nov 2019","12,013.00","11,974.00","-0.32%","12,020.00","11,963.00"
"20 Nov 2019","11,986.00","12,016.00","0.25%","12,066.00","11,983.00"
"19 Nov 2019","11,912.00","11,983.00","0.60%","11,989.00","11,903.00"
"18 Nov 2019","11,944.00","11,926.00","-0.15%","11,954.00","11,895.00"
"15 Nov 2019","11,926.00","11,932.00","0.05%","11,995.00","11,926.00"
"14 Nov 2019","11,860.00","11,897.00","0.31%","11,925.00","11,828.00"
"13 Nov 2019","11,931.00","11,858.00","-0.61%","11,955.00","11,847.00"
"12 Nov 2019","11,952.00","11,973.00","0.18%","11,974.00","11,949.00"
"11 Nov 2019","11,890.00","11,944.00","0.45%","11,968.00","11,866.00"
"08 Nov 2019","11,989.00","11,946.00","-0.36%","12,068.00","11,936.00"
"07 Nov 2019","12,025.00","12,052.00","0.22%","12,058.00","11,974.00"
"06 Nov 2019","11,911.00","12,000.00","0.75%","12,049.00","11,885.00"
"05 Nov 2019","11,981.00","11,957.00","-0.20%","11,985.00","11,900.00"
"04 Nov 2019","11,987.00","11,979.00","-0.07%","12,013.00","11,935.00"
"01 Nov 2019","11,915.00","11,936.00","0.18%","11,946.00","11,881.00"
"31 Oct 2019","11,932.00","11,920.00","-0.10%","11,987.00","11,806.00"
"30 Oct 2019","11,826.00","11,850.00","0.20%","11,877.00","11,787.00"
"29 Oct 2019","11,659.00","11,789.00","1.12%","11,825.00","11,629.00"
"27 Oct 2019","11,634.00","11,626.00","-0.07%","11,634.00","11,622.00"
"25 Oct 2019","11,579.00","11,608.00","0.25%","11,641.00","11,502.00"
"24 Oct 2019","11,674.00","11,614.00","-0.51%","11,678.00","11,559.00"
"23 Oct 2019","11,614.00","11,630.00","0.14%","11,683.00","11,575.00"
"22 Oct 2019","11,662.00","11,624.00","-0.33%","11,716.00","11,608.00"
"21 Oct 2019","11,695.00","11,704.00","0.08%","11,712.00","11,648.00"
"18 Oct 2019","11,573.00","11,674.00","0.87%","11,696.00","11,570.00"
"17 Oct 2019","11,491.00","11,593.00","0.89%","11,617.00","11,461.00"
"16 Oct 2019","11,464.00","11,482.00","0.16%","11,486.00","11,421.00"
"15 Oct 2019","11,369.00","11,442.00","0.64%","11,473.00","11,363.00"
"14 Oct 2019","11,330.00","11,331.00","0.01%","11,432.00","11,296.00"
"11 Oct 2019","11,304.00","11,311.00","0.06%","11,384.00","11,188.00"
"10 Oct 2019","11,300.00","11,257.00","-0.38%","11,311.00","11,216.00"
"09 Oct 2019","11,155.00","11,362.00","1.86%","11,362.00","11,113.00"
"08 Oct 2019","11,148.00","11,101.00","-0.42%","11,159.00","11,101.00"
"07 Oct 2019","11,178.00","11,151.00","-0.24%","11,260.00","11,151.00"
"04 Oct 2019","11,400.00","11,211.00","-1.66%","11,433.00","11,202.00"
"03 Oct 2019","11,339.00","11,356.00","0.15%","11,415.00","11,313.00"
"01 Oct 2019","11,592.00","11,432.00","-1.38%","11,608.00","11,311.00"
"30 Sep 2019","11,526.00","11,541.00","0.13%","11,577.00","11,444.00"
"27 Sep 2019","11,590.00","11,578.00","-0.10%","11,643.00","11,566.00"
